id,period,subregion,area_sqm,croplands_min,croplands_mean,croplands_max,croplands_stddev,duration_image,duration_vector,duration_values,duration_total
0,2021,Kanifing,24451,0.1662,0.1684,0.1758,0.0048,0:00:00.000185,0:00:06.984799,0:00:35.297063,0:00:42.282434
1,2021,Kerewan,32885319,0.1458,0.2647,0.438,0.0285,0:00:00.000080,0:00:07.037550,0:00:35.290854,0:00:42.328960
2,2021,Banjul,0,-999,-999,-999,-999,0:00:00.000067,0:00:07.037550,0:00:00.000009,0:00:06.991439
3,2021,Kanifing,264621,0.1102,0.1851,0.2804,0.0549,0:00:00.000185,0:00:07.070019,0:00:33.884848,0:00:40.955574
4,2021,Brikama,141767248,0.1178,0.2727,0.4661,0.0423,0:00:00.000061,0:00:07.609699,0:00:43.144859,0:00:50.754902
5,2021,Kerewan,1031546,0.1555,0.2518,0.3823,0.036,0:00:00.000064,0:00:06.723689,0:00:33.717571,0:00:40.441668
6,2021,Brikama,88338,0.1775,0.2241,0.2422,0.0205,0:00:00.000145,0:00:07.011615,0:00:34.341719,0:00:41.353874
7,2021,Kerewan,368862389,0.1594,0.255,0.4465,0.0306,0:00:00.000063,0:00:07.146488,0:00:43.816455,0:00:50.963306
8,2021,Brikama,32473124,0.1554,0.267,0.4346,0.0426,0:00:00.000072,0:00:07.022250,0:00:36.105916,0:00:43.128568
9,2021,Kerewan,113230301,0.1507,0.2577,0.462,0.0337,0:00:00.000390,0:00:07.104318,0:00:37.411829,0:00:44.516946
10,2021,Mansa Konko,1386577,0.1898,0.2597,0.3097,0.0219,0:00:00.000059,0:00:06.963074,0:00:34.231898,0:00:41.195439
11,2021,Kerewan,246939171,0.0976,0.2421,0.4504,0.0266,0:00:00.000093,0:00:06.897901,0:00:40.919827,0:00:47.818166
12,2021,Brikama,26154870,0.1075,0.2194,0.331,0.0247,0:00:00.000158,0:00:07.466750,0:00:35.624583,0:00:43.092116
13,2021,Kerewan,202600,0.2048,0.2403,0.2634,0.0145,0:00:00.000660,0:00:06.948548,0:00:34.191620,0:00:41.141146
14,2021,Mansa Konko,11427545,0.0999,0.2093,0.3214,0.0257,0:00:00.000249,0:00:07.266715,0:00:34.408658,0:00:41.676230
15,2021,Kerewan,173500117,0.114,0.2196,0.3517,0.0346,0:00:00.000056,0:00:06.997903,0:00:40.299307,0:00:47.297526
16,2021,Kuntaur,50687503,0.1494,0.2625,0.4005,0.0311,0:00:00.000143,0:00:07.530147,0:00:37.001373,0:00:44.532092
17,2021,Mansa Konko,400816,0.1615,0.2203,0.2775,0.0253,0:00:00.000488,0:00:07.475971,0:00:40.213001,0:00:47.691073
18,2021,Kerewan,6986,0.2507,0.2437,0.2551,0.0022,0:00:00.000471,0:00:09.040096,0:00:39.810425,0:00:48.851620
19,2021,Mansa Konko,41252583,0.1412,0.2126,0.293,0.0218,0:00:00.000171,0:00:07.838271,0:00:39.070221,0:00:46.909282
20,2021,Janjanbureh,209706741,0.1454,0.2351,0.3743,0.0284,0:00:00.000209,0:00:07.957370,0:00:44.501451,0:00:52.459543
21,2021,Kerewan,799897,0.1798,0.2574,0.3054,0.0196,0:00:00.000129,0:00:07.971139,0:00:39.578939,0:00:47.550731
22,2021,Kuntaur,218778479,0.1111,0.2616,0.3936,0.0306,0:00:00.000150,0:00:07.828601,0:00:43.298183,0:00:51.127419
23,2021,Mansa Konko,11766494,0.1548,0.2242,0.3102,0.0242,0:00:00.000196,0:00:08.036388,0:00:37.204575,0:00:45.242390
24,2021,Kerewan,239277,0.1712,0.2357,0.2671,0.0266,0:00:00.000166,0:00:07.422493,0:00:36.268684,0:00:43.691730
25,2021,Mansa Konko,21031632,0.1771,0.2442,0.3228,0.0237,0:00:00.000191,0:00:07.600261,0:00:37.033551,0:00:44.634702
26,2021,Janjanbureh,149767720,0.139,0.2357,0.3462,0.0244,0:00:00.000120,0:00:07.444100,0:00:42.066930,0:00:49.511638
27,2021,Kuntaur,224475517,0.1609,0.2298,0.3379,0.0239,0:00:00.000108,0:00:08.154159,0:00:42.093272,0:00:50.247989
28,2021,Janjanbureh,134740043,0.1422,0.2156,0.3477,0.0235,0:00:00.000092,0:00:07.256348,0:00:41.196759,0:00:48.453752
29,2021,Kuntaur,124882,0.2095,0.2394,0.2764,0.0214,0:00:00.000120,0:00:07.192329,0:00:36.200067,0:00:43.393016
30,2021,Basse,6739394,0.1937,0.2546,0.3389,0.0234,0:00:00.000127,0:00:07.158938,0:00:35.998261,0:00:43.157719
31,2021,Janjanbureh,10801418,0.1911,0.2439,0.3169,0.0226,0:00:00.000363,0:00:07.394423,0:00:36.112358,0:00:43.508001
32,2021,Kuntaur,137562384,0.1222,0.2428,0.3249,0.0208,0:00:00.000075,0:00:07.131395,0:00:42.059601,0:00:49.191420
33,2021,Basse,200956505,0.1357,0.2387,0.3953,0.0326,0:00:00.000266,0:00:07.107027,0:00:41.912974,0:00:49.020741
34,2021,Janjanbureh,91616658,0.1695,0.2385,0.3314,0.0219,0:00:00.000111,0:00:07.570514,0:00:38.915759,0:00:46.486813
35,2021,Kuntaur,3375399,0.1954,0.2581,0.3376,0.0239,0:00:00.000222,0:00:07.568562,0:00:35.449295,0:00:43.019517
36,2021,Basse,111917452,0.1579,0.2434,0.3663,0.0296,0:00:00.000129,0:00:07.447380,0:00:41.098455,0:00:48.546525
37,2021,Basse,390969520,0.139,0.235,0.4663,0.0325,0:00:00.000113,0:00:07.178988,0:00:43.837332,0:00:51.016809
38,2021,Basse,25414513,0.1687,0.2456,0.3322,0.0249,0:00:00.000119,0:00:07.000022,0:00:36.543962,0:00:43.544601
39,2021,Basse,84338971,0.1584,0.2616,0.3911,0.0345,0:00:00.000082,0:00:07.275744,0:00:38.895432,0:00:46.171684
